rank,slug,docket,application,application_status,customer_number,title,disorder,active_pair,doi,doi_url,zenodo_url,github_url,published,paper_status,patent_status
11,posttraumatic_stress_disorder,MHMDCNS-011,"64/090,751",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Posttraumatic Stress Disorder with a combination of crinecerfont and silodosin,Posttraumatic Stress Disorder,crinecerfont + silodosin,10.5281/zenodo.20609299,https://doi.org/10.5281/zenodo.20609299,https://zenodo.org/records/20609299,https://github.com/danbroz/Med-discovery-public/tree/main/posttraumatic_stress_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
12,autism_spectrum_disorder,MHMDCNS-012,"64/076,299",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Autism Spectrum Disorder with a combination of oxytocin and pitolisant,Autism Spectrum Disorder,oxytocin + pitolisant,10.5281/zenodo.20609301,https://doi.org/10.5281/zenodo.20609301,https://zenodo.org/records/20609301,https://github.com/danbroz/Med-discovery-public/tree/main/autism_spectrum_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
13,narcolepsy,MHMDCNS-013,"64/076,301",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Narcolepsy with a combination of pitolisant and Nag 26,Narcolepsy,pitolisant + Nag 26,10.5281/zenodo.20609305,https://doi.org/10.5281/zenodo.20609305,https://zenodo.org/records/20609305,https://github.com/danbroz/Med-discovery-public/tree/main/narcolepsy,True,DOI-indexed Zenodo preprint,US provisional patent pending
14,obsessive_compulsive_disorder,MHMDCNS-014,"64/076,302",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Obsessive Compulsive Disorder with a combination of pimavanserin and vilazodone,Obsessive Compulsive Disorder,pimavanserin + vilazodone,10.5281/zenodo.20609307,https://doi.org/10.5281/zenodo.20609307,https://zenodo.org/records/20609307,https://github.com/danbroz/Med-discovery-public/tree/main/obsessive_compulsive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
15,persistent_depressive_disorder,MHMDCNS-015,"64/076,304",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Persistent Depressive Disorder with a combination of agomelatine and vilazodone,Persistent Depressive Disorder,agomelatine + vilazodone,10.5281/zenodo.20609309,https://doi.org/10.5281/zenodo.20609309,https://zenodo.org/records/20609309,https://github.com/danbroz/Med-discovery-public/tree/main/persistent_depressive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
16,panic_disorder,MHMDCNS-016,"64/076,305",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Panic Disorder with a combination of vilazodone and betaxolol,Panic Disorder,vilazodone + betaxolol,10.5281/zenodo.20609311,https://doi.org/10.5281/zenodo.20609311,https://zenodo.org/records/20609311,https://github.com/danbroz/Med-discovery-public/tree/main/panic_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
17,social_anxiety_disorder,MHMDCNS-017,"64/076,307",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Social Anxiety Disorder with a combination of vilazodone and agomelatine,Social Anxiety Disorder,vilazodone + agomelatine,10.5281/zenodo.20609313,https://doi.org/10.5281/zenodo.20609313,https://zenodo.org/records/20609313,https://github.com/danbroz/Med-discovery-public/tree/main/social_anxiety_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
18,binge_eating_disorder,MHMDCNS-018,"64/076,308",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Binge Eating Disorder with a combination of setmelanotide and vilazodone,Binge Eating Disorder,setmelanotide + vilazodone,10.5281/zenodo.20609315,https://doi.org/10.5281/zenodo.20609315,https://zenodo.org/records/20609315,https://github.com/danbroz/Med-discovery-public/tree/main/binge_eating_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
19,restless_legs_syndrome,MHMDCNS-019,"64/076,309",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Restless Legs Syndrome with a combination of suvorexant and agomelatine,Restless Legs Syndrome,suvorexant + agomelatine,10.5281/zenodo.20609317,https://doi.org/10.5281/zenodo.20609317,https://zenodo.org/records/20609317,https://github.com/danbroz/Med-discovery-public/tree/main/restless_legs_syndrome,True,DOI-indexed Zenodo preprint,US provisional patent pending
20,obstructive_sleep_apnea_hypopnea,MHMDCNS-020,"64/076,310",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Obstructive Sleep Apnea Hypopnea with a combination of suvorexant and agomelatine,Obstructive Sleep Apnea Hypopnea,suvorexant + agomelatine,10.5281/zenodo.20609319,https://doi.org/10.5281/zenodo.20609319,https://zenodo.org/records/20609319,https://github.com/danbroz/Med-discovery-public/tree/main/obstructive_sleep_apnea_hypopnea,True,DOI-indexed Zenodo preprint,US provisional patent pending
