slug,title,disorder,active_pair,doi,doi_url,zenodo_url,deposition_id,record_id,github_url,pdf_file,published
rem_sleep_behavior_disorder,Mechanism-Guided Discovery of suvorexant + agomelatine for REM Sleep Behavior Disorder,REM Sleep Behavior Disorder,suvorexant + agomelatine,10.5281/zenodo.20708208,https://doi.org/10.5281/zenodo.20708208,https://zenodo.org/records/20708208,20708208,20708208,https://github.com/danbroz/Med-discovery-public/tree/main/rem_sleep_behavior_disorder,rem_sleep_behavior_disorder.pdf,True
nightmare_disorder,Mechanism-Guided Discovery of suvorexant + agomelatine for Nightmare Disorder,Nightmare Disorder,suvorexant + agomelatine,10.5281/zenodo.20708210,https://doi.org/10.5281/zenodo.20708210,https://zenodo.org/records/20708210,20708210,20708210,https://github.com/danbroz/Med-discovery-public/tree/main/nightmare_disorder,nightmare_disorder.pdf,True
non_rem_sleep_arousal_disorders,Mechanism-Guided Discovery of suvorexant + agomelatine for Non-REM Sleep Arousal Disorders,Non-REM Sleep Arousal Disorders,suvorexant + agomelatine,10.5281/zenodo.20708212,https://doi.org/10.5281/zenodo.20708212,https://zenodo.org/records/20708212,20708212,20708212,https://github.com/danbroz/Med-discovery-public/tree/main/non_rem_sleep_arousal_disorders,non_rem_sleep_arousal_disorders.pdf,True
sleep_related_hypoventilation,Mechanism-Guided Discovery of suvorexant + agomelatine for Sleep Related Hypoventilation,Sleep Related Hypoventilation,suvorexant + agomelatine,10.5281/zenodo.20708214,https://doi.org/10.5281/zenodo.20708214,https://zenodo.org/records/20708214,20708214,20708214,https://github.com/danbroz/Med-discovery-public/tree/main/sleep_related_hypoventilation,sleep_related_hypoventilation.pdf,True
compulsive_and_related_disorder_umbrella,Mechanism-Guided Discovery of vilazodone + pimavanserin for Compulsive and Related Disorder (umbrella),Compulsive and Related Disorder (umbrella),vilazodone + pimavanserin,10.5281/zenodo.20708216,https://doi.org/10.5281/zenodo.20708216,https://zenodo.org/records/20708216,20708216,20708216,https://github.com/danbroz/Med-discovery-public/tree/main/compulsive_and_related_disorder_umbrella,compulsive_and_related_disorder_umbrella.pdf,True
psychological_factors_affecting_other_medical_conditions,Mechanism-Guided Discovery of vilazodone + betaxolol for Psychological Factors Affecting Other Medical Conditions,Psychological Factors Affecting Other Medical Conditions,vilazodone + betaxolol,10.5281/zenodo.20708218,https://doi.org/10.5281/zenodo.20708218,https://zenodo.org/records/20708218,20708218,20708218,https://github.com/danbroz/Med-discovery-public/tree/main/psychological_factors_affecting_other_medical_conditions,psychological_factors_affecting_other_medical_conditions.pdf,True
antisocial_personality_disorder,Mechanism-Guided Discovery of pimavanserin + perospirone for Antisocial Personality Disorder,Antisocial Personality Disorder,pimavanserin + perospirone,10.5281/zenodo.20708220,https://doi.org/10.5281/zenodo.20708220,https://zenodo.org/records/20708220,20708220,20708220,https://github.com/danbroz/Med-discovery-public/tree/main/antisocial_personality_disorder,antisocial_personality_disorder.pdf,True
avoidant_personality_disorder,Mechanism-Guided Discovery of pimavanserin + perospirone for Avoidant Personality Disorder,Avoidant Personality Disorder,pimavanserin + perospirone,10.5281/zenodo.20708222,https://doi.org/10.5281/zenodo.20708222,https://zenodo.org/records/20708222,20708222,20708222,https://github.com/danbroz/Med-discovery-public/tree/main/avoidant_personality_disorder,avoidant_personality_disorder.pdf,True
trichotillomania,Mechanism-Guided Discovery of pimavanserin + perospirone for Trichotillomania,Trichotillomania,pimavanserin + perospirone,10.5281/zenodo.20708224,https://doi.org/10.5281/zenodo.20708224,https://zenodo.org/records/20708224,20708224,20708224,https://github.com/danbroz/Med-discovery-public/tree/main/trichotillomania,trichotillomania.pdf,True
catatonic_disorder_due_to_another_medical_condition,Mechanism-Guided Discovery of xanomeline + perospirone for Catatonic Disorder Due to Another Medical Condition,Catatonic Disorder Due to Another Medical Condition,xanomeline + perospirone,10.5281/zenodo.20708226,https://doi.org/10.5281/zenodo.20708226,https://zenodo.org/records/20708226,20708226,20708226,https://github.com/danbroz/Med-discovery-public/tree/main/catatonic_disorder_due_to_another_medical_condition,catatonic_disorder_due_to_another_medical_condition.pdf,True
bipolar_and_related_disorder_due_to_another_medical_condition,Mechanism-Guided Discovery of perospirone + pimavanserin for Bipolar and Related Disorder Due to Another Medical Condition,Bipolar and Related Disorder Due to Another Medical Condition,perospirone + pimavanserin,10.5281/zenodo.20708228,https://doi.org/10.5281/zenodo.20708228,https://zenodo.org/records/20708228,20708228,20708228,https://github.com/danbroz/Med-discovery-public/tree/main/bipolar_and_related_disorder_due_to_another_medical_condition,bipolar_and_related_disorder_due_to_another_medical_condition.pdf,True
